"","code","description","selectionOnly","type","startDate","endDate"
"360","233","Estonia",FALSE,"country",NA,NA
"361","1119","E SEAsia&Chn",FALSE,"group",NA,NA
"362","1114","E SEAsia&Chn",FALSE,"group",NA,NA
"363","1097","E SEAsia&Chn",FALSE,"group",NA,NA
"364","1122","E&SE Asia,Ch",FALSE,"group",NA,NA
"365","921","E SE Asia",FALSE,"group",NA,NA
"366","1034","ESE As&China",FALSE,"group",NA,NA
"367","1112","ESCWA",FALSE,"group",NA,NA
"368","940","ESCAP",FALSE,"group",NA,NA
"369","232","Eritrea",FALSE,"country",NA,NA
"370","226","Equatorial Guinea",FALSE,"country",NA,NA
"371","222","El Salvador",FALSE,"country",NA,NA
"372","1166","EHDAX",FALSE,"group",NA,NA
"373","818","Egypt",FALSE,"country",NA,NA
"374","991","EFTA",FALSE,"group",NA,NA
"375","929","E Europe",FALSE,"group",NA,NA
"376","218","Ecuador",FALSE,"country",NA,NA
"377","980","ECOWAS",FALSE,"group",NA,NA
"378","1142","ECO",FALSE,"group",NA,NA
"379","969","ECLAC",FALSE,"group",NA,NA
"380","978","ECGL",FALSE,"group",NA,NA
"381","970","ECE",FALSE,"group",NA,NA
"382","977","ECCAS",FALSE,"group",NA,NA
"383","968","ECA",FALSE,"group",NA,NA
"384","911","East Africa",FALSE,"group",NA,NA
"385","534","Sint Maarten",FALSE,"country",NA,NA
"386","535.03","Sint Eustatius",FALSE,"country",NA,NA
"387","1044","Dvg SbSh,EAA",FALSE,"group",NA,NA
"388","1045","Dvg Oths,EAA",FALSE,"group",NA,NA
"389","1043","Dvg N Af,EAA",FALSE,"group",NA,NA
"390","1042","Dvg LA&C,EAA",FALSE,"group",NA,NA
"391","1039","Dvd WEur,EAA",FALSE,"group",NA,NA
"392","1135","Dvd Tran EAA",FALSE,"group",NA,NA
"393","1041","Dvd Oths,EAA",FALSE,"group",NA,NA
"394","1040","Dvd Ocen,EAA",FALSE,"group",NA,NA
"395","1038","Dvd NAmr,EAA",FALSE,"group",NA,NA
"396","1037","Dvd Ind,EAA",FALSE,"group",NA,NA
"397","1134","Dvd Ind EAA",FALSE,"group",NA,NA
"398","214","Dominican Republic",FALSE,"country",NA,NA
"399","212","Dominica",FALSE,"country",NA,NA
"400","535.02","Saba",FALSE,"country",NA,NA
"401","1002","Dng Oth EAA",FALSE,"group",NA,NA
"402","1001","Dng Ocea EAA",FALSE,"group",NA,NA
"403","1000","Dng LtCb EAA",FALSE,"group",NA,NA
"404","999","Dng Asia EAA",FALSE,"group",NA,NA
"405","982","Dng Ant EAA",FALSE,"group",NA,NA
"406","997","Dng Afr EAA",FALSE,"group",NA,NA
"407","262","Djibouti",FALSE,"country",NA,NA
"408","1025","Dg OthersEAA",FALSE,"group",NA,NA
"409","1024","Dg Ocean EAA",FALSE,"group",NA,NA
"410","1019","Dg China EAA",FALSE,"group",NA,NA
"411","1018","Dg As SthEAA",FALSE,"group",NA,NA
"412","1017","Dg As NE EAA",FALSE,"group",NA,NA
"413","1016","Dg As ESE",FALSE,"group",NA,NA
"414","1015","Dg Anta EAA",FALSE,"group",NA,NA
"415","1023","Dg Am SthEAA",FALSE,"group",NA,NA
"416","1020","Dg Am NthEAA",FALSE,"group",NA,NA
"417","1021","Dg Am CenEAA",FALSE,"group",NA,NA
"418","1022","Dg Am CabEAA",FALSE,"group",NA,NA
"419","1014","Dg Af Wt EAA",FALSE,"group",NA,NA
"420","1013","Dg Af SthEAA",FALSE,"group",NA,NA
"421","1012","Dg Af NW EAA",FALSE,"group",NA,NA
"422","1011","Dg Af Es EAA",FALSE,"group",NA,NA
"423","1010","Dg Af Ce EAA",FALSE,"group",NA,NA
"424","1053","Devloped EAA",FALSE,"group",NA,NA
"425","948","Developing",FALSE,"group",NA,NA
"426","1055","Developing",FALSE,"group",NA,NA
"427","1185","Developed",FALSE,"group",NA,NA
"428","208","Denmark",FALSE,"country",NA,NA
"429","180","Democratic Republic of the Congo",FALSE,"country",NA,NA
"430","408","Democratic People's Republic of Korea",FALSE,"country",NA,NA
"431","1007","Dd W Eur EAA",FALSE,"group",NA,NA
"432","1030","Dd USSR Euro",FALSE,"group",NA,NA
"433","1009","Dd USSR EAA",FALSE,"group",NA,NA
"434","1029","Dd USSR Asia",FALSE,"group",NA,NA
"435","1006","Dd Ocean EAA",FALSE,"group",NA,NA
"436","1008","Dd E Eur EAA",FALSE,"group",NA,NA
